Cidade,UF,População,Possui_Plano_Municipal,População_sem_Água,População_sem_Esgoto,População_sem_coleta_de_lixo,Domicílios_sujeitos_à_inundações
Tururu,CE,16588,Não,77.78,--,87.82,--
Bom Lugar,MA,16578,Não,71.78,--,71.78,--
Mangueirinha,PR,16572,Sim,18.45,41.51,40.86,0.20
Vitória do Jari,AP,16572,Em elaboração,55.34,--,17.93,2.90
Conceição do Lago-Açu,MA,16559,Em elaboração,72.31,--,--,--
Machados,PE,16549,Não,38.88,--,21.45,0
Caçu,GO,16525,Sim,20.21,20.21,19.18,0.80
Raposos,MG,16501,Não,16.17,29.05,0.00,50.00
Morretes,PR,16485,Sim,2.19,47.12,27.21,6.30
Nova Canaã,BA,16482,Não,59.00,47.49,36.46,0.20
Tapejara,PR,16480,Em elaboração,1.09,17.35,0.00,0
Perdizes,MG,16469,Em elaboração,33.3,0.00,17.72,0
Ibitiara,BA,16463,Em elaboração,77.89,92.3,51.41,0
Sertanópolis,PR,16456,Em elaboração,0.00,20.00,12.32,0
Passa Quatro,MG,16439,Sim,23.09,0.00,23.09,0
Aveiro,PA,16421,Não,64.68,--,79.94,48.40
Vila Bela da Santíssima Trindade,MT,16412,Em elaboração,60.46,87.07,64.36,1.20
Bituruna,PR,16411,Sim,23.32,79.45,39.59,1.10
Fonte Boa,AM,16409,Sim,33.76,--,65.45,--
Alvarães,AM,16396,Não,83.39,--,--,--
Santa Margarida,MG,16393,Em elaboração,50.09,51.2,0.00,22.80
Sananduva,RS,16382,Sim,30.36,--,30.42,1.90
Lago Verde,MA,16369,Não,84.51,--,54.18,10.40
Pereiro,CE,16356,Em elaboração,74.26,--,47.42,0.80
Lagoa dos Gatos,PE,16345,Não,32.11,29.94,20.2,0.40
Agudo,RS,16344,Não,56.33,--,51.05,0.40
Clevelândia,PR,16344,Sim,0.01,6.06,8.28,0
Filadélfia,BA,16314,Em elaboração,28.23,53.92,8.05,0
Pindaí,BA,16308,Não,73.24,--,72.36,0
Corupá,SC,16300,Sim,0.00,--,1.84,2.40
Paulino Neves,MA,16295,Em elaboração,98.54,--,67.95,0
Capinópolis,MG,16294,Sim,20.31,7.94,6.46,0.10
Itaú de Minas,MG,16286,Não,5.27,0.00,0.01,0
Mojuí dos Campos,PA,16282,Não,--,--,20.16,0
Borborema,SP,16278,Sim,9.36,9.87,8.32,0
Iguatemi,MS,16273,Sim,26.75,84.5,26.01,0
Ibicuí,BA,16262,Em elaboração,24.28,--,43.15,1.40
Guamaré,RN,16261,Sim,61.9,--,0.00,1.40
São Benedito do Sul,PE,16239,Não,55.67,--,44.58,--
Joselândia,MA,16228,Não,79.45,--,46.45,14.20
Barrocas,BA,16225,Em elaboração,0.03,--,31.57,--
Campinápolis,MT,16223,Não,41.93,--,66.31,2.20
Altinópolis,SP,16221,Sim,12.63,12.63,7.53,0
Santo Amaro do Maranhão,MA,16219,Em elaboração,--,--,73.73,1.50
Barra de Santo Antônio,AL,16201,Não,10.00,--,--,--
Itaeté,BA,16164,Em elaboração,47.2,--,38.13,0
Getúlio Vargas,RS,16158,Sim,14.19,--,0.00,6.10
Itaipava do Grajaú,MA,16158,Não,40.43,--,--,--
Monte Negro,RO,16158,Sim,66.21,--,46.32,0.50
Piancó,PB,16147,Não,27.39,--,48.95,--
Palmitos,SC,16144,Sim,29.68,--,38.39,8.10
Coaraci,BA,16128,Em elaboração,11.16,--,3.7,3.20
São Lourenço da Serra,SP,16127,Não,48.37,70.09,8.97,0
Candói,PR,16126,Em elaboração,30.34,59.7,37.99,0
Quixelô,CE,16116,Sim,59.02,71.46,67.14,0
Fartura,SP,16102,Em elaboração,5.13,7.01,3.74,0.60
São Pedro do Sul,RS,16100,Em elaboração,27.12,--,27.12,0
Cerejeiras,RO,16088,Em elaboração,35.9,--,15.33,0
América Dourada,BA,16086,Não,20.56,--,7.37,--
Alto Santo,CE,16077,Em elaboração,68.12,--,37.8,7.70
Mozarlândia,GO,16077,Sim,30.08,--,9.27,0
Anapurus,MA,16054,Não,57.23,--,48.6,0
Nova Bandeirantes,MT,16052,Não,42.06,--,65.11,0.40
Salinas da Margarida,BA,16047,Não,0.47,--,44.29,0
Nova Ponte,MG,16046,Sim,14.22,14.22,14.22,0
Água Clara,MS,16025,Não,34.12,--,33.46,0
Tangará,RN,16008,Em elaboração,0.00,24.6,10.04,0
Urucará,AM,16007,Não,0.00,--,42.79,1.20
Joaquim Nabuco,PE,15999,Não,23.71,--,26.88,0.90
Tremedal,BA,15996,Não,74.42,--,64.08,0
Biritinga,BA,15989,Sim,67.85,--,68.73,0
Ribeirão Branco,SP,15984,Em elaboração,13.9,42.43,10.54,0
Canutama,AM,15981,Sim,20.32,--,48.11,23.10
São Francisco do Pará,PA,15978,Sim,67.62,--,46.4,--
Indiara,GO,15962,Não,15.05,--,14.86,0
Panorama,SP,15944,Não,--,--,2.87,--
Grão Mogol,MG,15943,Não,64.46,82.64,64.12,0
Poxoréu,MT,15936,Não,--,--,--,--
Rosana,SP,15929,Sim,0.15,1.81,19.47,2.60
Papagaios,MG,15922,Sim,0.00,15.91,8.93,0
Encruzilhada,BA,15914,Não,71.14,83.78,--,--
Capitão Leônidas Marques,PR,15887,Sim,0.01,--,23.25,3.90
Lagoa Nova,RN,15880,Em elaboração,51.53,67.75,71.54,1.60
Saloá,PE,15880,Não,61.72,--,37.37,--
Lagoa Real,BA,15870,Não,79.89,--,71.64,0
Itamonte,MG,15844,Não,33.32,--,31.92,37.90
