Cidade;UF;População;Possui Plano Municipal;População sem Água;População sem Esgoto;População sem coleta de lixo;Domicílios sujeitos à inundações;Coluna1
São Domingos das Dores;MG;5672;Em elaboração;0.59;;;;0
Bom Princípio do Piauí;PI;5670;Em elaboração;;;;;0
Barrolândia;TO;5669;Não;0.12;;0.21;0;0
Feira da Mata;BA;5656;Não;0;;;;0
São Paulo das Missões;RS;5654;Sim;0;;0.65;0.02;0
Júlio Borges;PI;5653;Não;0.55;;0.65;;0
Goiandira;GO;5650;Sim;0.13;;0;0;0
Macuco;RJ;5646;Sim;0.13;0.58;0.01;0.04;3274,68
São Cristovão do Sul;SC;5646;Sim;0.19;;0.15;;0
São José do Xingu;MT;5646;Em elaboração;;;;0;0
Benedito Leite;MA;5643;Não;0.61;;0.1;0.12;0
Firmino Alves;BA;5641;Em elaboração;0.13;;;;0
Mendonça;SP;5638;Sim;0.01;0.01;0;0;56,38
Sabino;SP;5638;Em elaboração;0;0;0.12;0;0
Sentinela do Sul;RS;5635;Em elaboração;0.76;;0.75;0;0
Campinas do Piauí;PI;5628;Em elaboração;0.58;;;;0
Aguiar;PB;5622;Não;0.37;;0.51;0;0
Feira Nova;SE;5617;Não;0.03;;0.23;;0
Mercedes;PR;5617;Sim;0;;0.5;0;0
Tucunduva;RS;5612;Sim;0.31;;0.32;0.01;0
Rubelita;MG;5609;Não;0.37;0.78;0.68;0.03;4375,02
Sítio Novo;RN;5600;Não;0.58;0.68;0.29;0;3808
São Sebastião da Bela Vista;MG;5598;Não;;;0;0;0
Maria Helena;PR;5593;Sim;0;;0.32;0;0
Cana Verde;MG;5585;Em elaboração;0.32;0.27;0.1;0.01;1507,95
Santa Fé de Goiás;GO;5585;Sim;0.2;;0.2;0;0
Caiana;MG;5584;Em elaboração;0.49;0;0.12;0.03;0
Xambrê;PR;5584;Em elaboração;0;0.48;0.67;0;2680,32
Saudade do Iguaçu;PR;5578;Em elaboração;0.08;;0.5;0;0
Santa Ernestina;SP;5577;Sim;0;0;0;0;0
Serra do Navio;AP;5577;Em elaboração;0.67;0.67;0.28;0;3736,59
Itaara;RS;5573;Em elaboração;0.21;;0.14;0.09;0
Agronômica;SC;5570;Sim;0.4;;0.62;0.16;0
Maripá;PR;5562;Sim;0.04;;0.43;0;0
São José da Vitória;BA;5562;Em elaboração;0.1;;0.1;0.04;0
Taiúva;SP;5562;Em elaboração;0;0;0;0;0
Fernandes Pinheiro;PR;5561;Em elaboração;0.34;;0.35;0.01;0
Capitão Andrade;MG;5559;Não;0.26;0.26;0.24;0;1445,34
Conceição do Pará;MG;5558;Sim;0.61;0.68;0.61;0.02;3779,44
Guaraci;PR;5557;Não;0.06;;0.16;0.03;0
Ipiguá;SP;5557;Em elaboração;0.36;0.36;0.4;0;2000,52
Bento Fernandes;RN;5552;Não;0.19;;0.31;;0
Pequizeiro;TO;5546;Sim;0.45;;;;0
Brejinho de Nazaré;TO;5540;Não;0.1;;;;0
São Jorge do Ivaí;PR;5535;Sim;0.05;0.19;0.13;0;1051,65
São Jorge do Patrocínio;PR;5532;Não;0;;0.21;0.02;0
Tiradentes do Sul;RS;5532;Sim;0.69;;0.35;0.13;0
Várzea;RN;5529;Em elaboração;0.03;;0.15;0.06;0
Alcantil;PB;5527;Sim;;;0.61;0;0
Doutor Ulysses;PR;5525;Em elaboração;0.54;0.84;;0;4641
Chuvisca;RS;5518;Sim;0.94;;0.83;0;0
Gurinhatã;MG;5516;Sim;0.56;0;0.56;0.09;0
Barra do Rocha;BA;5515;Não;0.4;;0.27;0;0
Caseara;TO;5514;Não;0.03;;0.41;0;0
Bertolínia;PI;5512;Não;0.1;;0.27;0;0
Piranguçu;MG;5504;Em elaboração;0.66;0.37;0.66;0.02;2036,48
Coronel Ezequiel;RN;5501;Em elaboração;0.35;;0.58;;0
Rio Preto;MG;5493;Não;0.09;;0.07;0.08;0
Juazeiro do Piauí;PI;5491;Não;0.69;;0.55;0;0
Alcinópolis;MS;5489;Sim;0.32;0.33;0.31;0;1811,37
Mesquita;MG;5489;Sim;0.2;0.32;;;1756,48
Joca Marques;PI;5488;Em elaboração;;;;;0
Tavares;RS;5484;Em elaboração;0.84;;0.19;0;0
Anchieta;SC;5477;Sim;0.24;;0.59;0;0
Caxingó;PI;5477;Não;0.01;;0.54;0.07;0
Geminiano;PI;5477;Não;0;;0.43;0;0
Sobrália;MG;5476;Em elaboração;0.42;0.21;0.25;0;1149,96
Fazenda Nova;GO;5471;Sim;0.28;;0.36;0;0
Alvorada do Gurguéia;PI;5469;Não;0.07;;0.51;0;0
Nova Colinas;MA;5469;Em elaboração;0.45;;0.44;0;0
Mucurici;ES;5468;Não;0.39;0.43;0.37;0;2351,24
Avaí;SP;5467;Sim;0.37;0.39;0.33;0;2132,13
Catas Altas;MG;5465;Sim;0.12;0.25;0;0.01;1366,25
Nova Esperança do Sul;RS;5465;Sim;0.23;;0.14;0;0
Caparaó;MG;5464;Não;0.68;0.61;0.39;0.03;3333,04
Santo Antônio do Leste;MT;5459;Em elaboração;0.48;;0.44;0;0
São Bento do Tocantins;TO;5457;Não;0.12;;0.41;;0
Jampruca;MG;5453;Sim;;;;0.38;0
Silvanópolis;TO;5452;Sim;0.2;;0.2;0;0
Tapira;PR;5452;Em elaboração;0.01;;0.3;0;0
Gaurama;RS;5447;Sim;0.42;;0.45;0;0
Itacambira;MG;5447;Em elaboração;0.74;;0.8;0;0
Turvelândia;GO;5447;Em elaboração;0.3;;0;0;0
Datas;MG;5431;Sim;0;0.28;0.41;0;1520,68
Luminárias;MG;5431;Não;0.23;0.23;0.23;0;1249,13
Santa Rita do Itueto;MG;5426;Sim;0.59;;;;0
Campinas do Sul;RS;5422;Sim;0.23;;0.23;0.05;0
Santo Inácio;PR;5422;Sim;0;0.29;;;1572,38
Baliza;GO;5418;Não;0.72;;0.41;0;0
Machadinho;RS;5411;Sim;0.39;;0.09;0;0
São Bento Abade;MG;5411;Não;0.14;0.02;0.02;0;108,22
Damião;PB;5409;Em elaboração;1;;0.45;0;0
Bonfinópolis de Minas;MG;5397;Sim;0.27;0.28;0.29;0.01;1511,16
Botuverá;SC;5396;Sim;0.74;;0.37;0;0
Presidente Castelo Branco;PR;5395;Em elaboração;0.15;0.31;;;1672,45
Vieirópolis;PB;5395;Não;0.81;;0.8;;0
Curral Novo do Piauí;PI;5390;Em elaboração;0.84;;;0;0
Entre Folhas;MG;5383;Em elaboração;0.31;;0.25;0.5;0
Nipoã;SP;5381;Não;0.15;0.18;0.11;0;968,58
Grandes Rios;PR;5379;Em elaboração;0.06;;0.2;0;0
Salmourão;SP;5372;Não;0.08;0.09;0;;483,48
Pratânia;SP;5371;Sim;0;0.01;0.24;0;53,71
Planalto;SP;5370;Não;0.2;0.2;0.16;0;1074
Pracuúba;AP;5370;Em elaboração;0.79;;;;0
Canitar;SP;5365;Em elaboração;;;;;0
Senador Amaral;MG;5365;Não;0.43;0;0.21;0.03;0
Riversul;SP;5364;Sim;0.1;0.2;0;0.03;1072,8
São José do Divino;PI;5361;Em elaboração;0.45;;0.41;0.08;0
São José do Goiabal;MG;5356;Sim;0.32;0.35;0.23;0;1874,6
Cravolândia;BA;5352;Não;0.34;0.5;0.16;0.14;2676
Manoel Emídio;PI;5352;Em elaboração;0.21;;0.1;0;0
Novorizonte;MG;5348;Sim;0.46;0.91;0.65;0;4866,68
Guzolândia;SP;5346;Em elaboração;0.11;0.12;0.03;0;641,52
Francinópolis;PI;5345;Sim;0.22;;;0;0
Porto dos Gaúchos;MT;5344;Em elaboração;0;;0.49;0;0
Ibiracatu;MG;5340;Não;0.41;;0.53;0;0
Pau D'Arco;PA;5339;Não;;;0.4;0.25;0
Braganey;PR;5338;Não;0.1;;0.02;0.02;0
Timbé do Sul;SC;5338;Sim;0.08;;0.65;0.01;0
São Martinho;RS;5336;Sim;0.4;;;0;0
Jaboti;PR;5332;Sim;0;0.91;0;0;4852,12
Marianópolis do Tocantins;TO;5332;Não;0.19;;0.38;0;0
Rio Espera;MG;5332;Sim;0.68;;0.44;0.05;0
Fartura do Piauí;PI;5330;Não;0.85;0.91;;;4850,3
Campina das Missões;RS;5325;Sim;0.64;0.46;0.39;0.03;2449,5
Itaverava;MG;5321;Em elaboração;0.69;;;;0
Álvaro de Carvalho;SP;5320;Em elaboração;0.34;0.36;0.06;0.01;1915,2
Minador do Negrão;AL;5315;Não;0.56;;0.62;0;0
Presidente Bernardes;MG;5315;Sim;0.69;0.72;0.39;0.04;3826,8
Barro Preto;BA;5312;Em elaboração;;;;;0
Barão de Monte Alto;MG;5311;Em elaboração;0.29;;;;0
Borborema;PB;5311;Não;0.27;0.94;0.27;0.03;4992,34
Acorizal;MT;5309;Sim;;;;;0
Parazinho;RN;5307;Não;0.23;0.36;0.35;;1910,52
Aricanduva;MG;5305;Não;0.53;0.62;0.53;0.03;3289,1
Aliança do Tocantins;TO;5303;Sim;0.11;;0.16;0;0
Virgolândia;MG;5303;Não;0.36;;;;0
Divina Pastora;SE;5290;Em elaboração;0.52;;0.07;0;0
Franciscópolis;MG;5287;Sim;0.56;0.59;0.59;0.15;3119,33
Diamante D'Oeste;PR;5279;Sim;0.3;;0.2;0.02;0
Almadina;BA;5273;Não;0.2;;;;0
Landri Sales;PI;5272;Em elaboração;0;;0.25;0;0
Volta Grande;MG;5270;Sim;0.37;0.01;0.05;0.03;52,7
Canas;SP;5268;Sim;0.04;0.16;0.08;0;842,88
Francisco Dumont;MG;5268;Não;0.37;0.75;0.25;0;3951
Curvelândia;MT;5267;Não;0.41;;;;0
São Luiz do Norte;GO;5263;Em elaboração;0.37;;0.15;0;0
Santa Rosa do Piauí;PI;5254;Não;0.05;;0.29;0;0
Nova Tebas;PR;5252;Não;0.13;;0.39;0;0
Boa Ventura;PB;5248;Não;0.12;;0;0.03;0
Barracão;RS;5237;Sim;0.43;;0.05;0;0
Fruta de Leite;MG;5232;Não;0.62;;0.66;0;0
Janduís;RN;5228;Em elaboração;0.15;;;;0
Dom Silvério;MG;5227;Sim;0.2;0.01;0.01;0.1;52,27
Figueirópolis;TO;5222;Sim;0.17;;0.24;;0
Sertão;RS;5220;Em elaboração;0.46;;0.46;0;0
Lagoa do Sítio;PI;5219;Não;0.13;;0.36;0.01;0
Curral de Cima;PB;5209;Não;;;;;0
Jequitibá;MG;5203;Não;0.64;0.55;0.62;;2861,65
Santa Maria do Salto;MG;5203;Em elaboração;0.31;0.38;0.14;0;1977,14
Guarujá do Sul;SC;5196;Sim;0.2;;0.46;0.01;0
Palmópolis;MG;5196;Não;0.23;;;0.09;0
Tamboara;PR;5196;Não;0;;0.14;0;0
Jacaré dos Homens;AL;5185;Não;0.07;;0.44;0.42;0
Itaguaru;GO;5184;Não;0.12;;0.17;0;0
Nova Erechim;SC;5163;Em elaboração;0.21;;0.25;0;0
Cristiano Otoni;MG;5161;Sim;0.24;0.41;0.17;0.01;2116,01
São Pedro do Suaçuí;MG;5160;Sim;0.56;0.59;0.59;0.07;3044,4
Rafael Fernandes;RN;5158;Em elaboração;0.68;;0.08;0;0
São Nicolau;RS;5153;Não;0.36;;0.34;0;0
Sertãozinho;PB;5152;Não;0.07;;0.03;0;0
São José da Varginha;MG;5151;Sim;0;0.66;0;;3399,66
Sertaneja;PR;5149;Sim;0;0.55;0;0;2831,95
Rio Branco;MT;5147;Sim;0;;0.13;0;0
Dores de Guanhães;MG;5139;Sim;0.01;;0.42;1;0
Goianorte;TO;5136;Não;0.44;;0.44;0;0
Olho d'Água Grande;AL;5133;Sim;0.49;;0.59;0;0
Brochier;RS;5132;Sim;0.01;;0.51;0.06;0
Caturaí;GO;5132;Sim;0.21;;0.22;0;0
Agricolândia;PI;5123;Sim;0.2;;;;0
Bom Jesus do Tocantins;TO;5120;Sim;0.25;;0.1;0;0
Rochedo;MS;5120;Em elaboração;;;0.41;0;0
Madre de Deus de Minas;MG;5119;Em elaboração;0.28;0.14;0.22;0;716,66
Rio do Prado;MG;5117;Em elaboração;0.44;0.62;0.48;0.1;3172,54
Analândia;SP;5115;Em elaboração;0.22;0.22;0.21;0;1125,3
Selbach;RS;5114;Sim;0.37;;0;0;0
José Raydan;MG;5104;Sim;0.66;0.43;0.57;0.02;2194,72
Caridade do Piauí;PI;5102;Em elaboração;0.29;0.67;0.57;0;3418,34
Turvolândia;MG;5099;Em elaboração;0.38;;;0.12;0
Santana de Mangueira;PB;5098;Não;0.41;;0.58;0;0
Campo Alegre do Fidalgo;PI;5093;Não;;;0.61;;0
Bocaina de Minas;MG;5088;Não;0.21;0.22;0.47;0;1119,36
Liberato Salzano;RS;5087;Sim;0.78;;0.51;0;0
Gameleiras;MG;5084;Em elaboração;0.07;;0.41;0;0
Cacique Doble;RS;5083;Não;0.67;;0.5;0.01;0
Guaramiranga;CE;5073;Não;0.74;0.82;0.01;0;4159,86
Crucilândia;MG;5072;Não;0.38;0.37;0.37;0;1876,64
Cabixi;RO;5067;Não;0.52;;0.61;0;0
Palestina;AL;5061;Não;0.24;;0.37;0;0
Congonhas do Norte;MG;5047;Sim;;;;;0
Vargem Grande do Rio Pardo;MG;5045;Em elaboração;0.49;;0.41;0;0
Descoberto;MG;5044;Sim;0.19;0.15;0.15;0.02;756,6
São Gonçalo do Piauí;PI;5044;Sim;0.08;;0.3;0;0
Pranchita;PR;5035;Sim;0.01;0.44;0.3;;2215,4
Piedade dos Gerais;MG;5034;Não;0.55;;0.34;0;0
Baraúna;PB;5033;Não;;;0.24;0;0
Rondinha;RS;5033;Sim;0.58;0.75;0.5;0.02;3774,75
Honório Serpa;PR;5030;Sim;0.4;;0.64;0;0
Palmeira do Piauí;PI;5029;Não;0.64;;0.5;0;0
Pingo-d'Água;MG;5029;Em elaboração;0.15;0.01;0.01;0.09;50,29
Campos Novos Paulista;SP;5028;Sim;0.01;0.01;0.38;0.01;50,28
São Raimundo do Doca Bezerra;MA;5028;Não;;;;;0
Cuparaque;MG;5026;Sim;0.85;0;0.17;0.01;0
Dom Cavati;MG;5025;Sim;0.21;0.11;0.12;0.25;552,75
José Boiteux;SC;5019;Sim;0.48;;0.66;0.01;0
Tupandi;RS;5019;Sim;0.19;0.92;0;0.01;4617,48
Nova Esperança do Sudoeste;PR;5014;Não;0.41;;0.66;0.08;0
Itacuruba;PE;5013;Não;0;;;;0
Nova Palmeira;PB;5011;Não;0.53;;0.41;0;0
Guaraciama;MG;5005;Não;0.44;;;0;0
Ibertioga;MG;4999;Não;0.33;0.23;0.15;0;1149,77
Itapura;SP;4994;Sim;0.22;0.32;0.05;0;1598,08
Liberdade;MG;4994;Não;0.26;;0.28;0.05;0
Currais;PI;4982;Não;0;;0.73;0.18;0
Aceguá;RS;4981;Sim;0.76;;0.4;;0
Diamante do Norte;PR;4975;Não;0;0.28;0.17;0.01;1393
Divino das Laranjeiras;MG;4969;Em elaboração;0.29;0.21;0.05;0;1043,49
Lupionópolis;PR;4969;Sim;0;;0.11;0;0
Harmonia;RS;4967;Sim;;;0;0;0
Muçum;RS;4967;Sim;0.16;0.9;0.15;0.4;4470,3
Mirassolândia;SP;4966;Não;0.01;0.19;0.19;0;943,54
São Felipe D'Oeste;RO;4962;Não;0.76;;0.76;0;0
Narandiba;SP;4950;Não;0;0;0.28;0;0
São João da Lagoa;MG;4949;Em elaboração;0.01;;0.48;0.07;0
Janiópolis;PR;4948;Sim;0;;0.18;0;0
Moeda;MG;4948;Não;0.62;;0.34;0.12;0
Catuti;MG;4944;Não;0.56;0.83;0.42;0;4103,52
Eliseu Martins;PI;4943;Em elaboração;0.01;;0.15;0;0
Miravânia;MG;4939;Em elaboração;0.77;;0.53;0;0
Monte Formoso;MG;4939;Não;0.62;0.7;0.63;0.04;3457,3
Catingueira;PB;4938;Não;0.32;;0.4;0.11;0
Bom Sucesso;PB;4937;Não;0.55;;0.49;0;0
Pilõezinhos;PB;4937;Não;0.32;;0.47;0;0
Japi;RN;4935;Em elaboração;0;;;;0
Várzea Branca;PI;4930;Em elaboração;0.76;;;;0
Japira;PR;4929;Sim;0.23;;0.19;0;0
Espírito Santo do Turvo;SP;4926;Em elaboração;0.15;0.15;0;0;738,9
Pinheirinho do Vale;RS;4926;Sim;0.67;0.93;0.41;0.08;4581,18
São José do Hortêncio;RS;4924;Sim;0.01;;0.01;0.01;0
Leme do Prado;MG;4923;Sim;0.65;0.73;0.32;0;3593,79
Alegrete do Piauí;PI;4921;Sim;0.19;;;0.05;0
Coronel João Pessoa;RN;4918;Em elaboração;0.78;;0.35;0;0
Santana do Itararé;PR;4916;Sim;0.04;0.58;0.34;0.01;2851,28
Boracéia;SP;4913;Sim;0;0;0.13;0.08;0
Gastão Vidigal;SP;4911;Não;0.18;0.18;0;0;883,98
Josenópolis;MG;4911;Não;0.48;0.71;0.46;0;3486,81
Nossa Senhora de Nazaré;PI;4911;Não;0.19;;0.49;0;0
Cocal de Telha;PI;4908;Em elaboração;0;;0.15;0.02;0
Vitor Meireles;SC;4907;Sim;0.48;;0.39;0.21;0
Barra Longa;MG;4905;Sim;0.57;;;;0
Aparecida do Rio Negro;TO;4901;Sim;0.21;;0;0.02;0
Miraguaí;RS;4899;Em elaboração;0.57;;0.57;0;0
Porto Amazonas;PR;4899;Sim;0;0.2;0.35;0.23;979,8
Caturité;PB;4898;Sim;0.58;;;;0
São Sebastião do Tocantins;TO;4898;Sim;0.17;;;;0
Ribeirão do Largo;BA;4896;Em elaboração;0.93;0.3;;;1468,8
Nova Araçá;RS;4890;Sim;0.28;;0.28;0;0
Tapira;MG;4890;Não;0.42;;;0;0
Santo Antônio da Barra;GO;4886;Não;0.23;;0.24;0;0
Jatobá do Piauí;PI;4885;Não;0;;0.59;0;0
Pau D'Arco;TO;4885;Não;0.04;;0.43;0;0
Floraí;PR;4883;Sim;0;0.74;0.06;0;3613,42
Lagoinha;SP;4882;Em elaboração;0.33;0.34;0.35;0;1659,88
Sampaio;TO;4876;Não;0.07;;;;0
Claraval;MG;4873;Não;0;0.69;0.28;0;3362,37
Indiana;SP;4873;Sim;0;0;0.14;0.02;0
Combinado;TO;4870;Em elaboração;0.1;;0.14;0;0
Itabi;SE;4869;Não;0.04;;0.24;;0
Monte Horebe;PB;4867;Não;0.29;0.38;0.45;0.04;1849,46
Santa Rosa do Tocantins;TO;4864;Sim;0.3;;0.35;0;0
Salto do Itararé;PR;4862;Em elaboração;0;0.42;;;2042,04
Santópolis do Aguapeí;SP;4856;Não;0.09;0.09;0.03;0;437,04
São João da Varjota;PI;4856;Não;0;;0.45;0;0
Vermelho Novo;MG;4852;Sim;0.61;0.61;0.4;0;2959,72
Lobato;PR;4850;Em elaboração;0.01;0.01;0.07;0;48,5
Santana do Jacaré;MG;4847;Não;0.12;0.05;0;0.01;242,35
Santa Rita de Jacutinga;MG;4843;Não;;;0.22;0.06;0
Glicério;SP;4842;Sim;0.32;0.33;0.07;0;1597,86
Gavião Peixoto;SP;4841;Sim;0.01;0.19;0;0;919,79
Novo São Joaquim;MT;4837;Em elaboração;0.28;0.07;0.38;0;338,59
Serranópolis de Minas;MG;4836;Sim;0.62;;0.61;0.03;0
Augusto de Lima;MG;4833;Sim;0.43;0.93;0.27;0.02;4494,69
Rianápolis;GO;4832;Sim;0.09;;0.11;0;0
Serrinha dos Pintos;RN;4832;Em elaboração;0.13;;0.11;0;0
Motuca;SP;4831;Não;0;0;0;0;0
Ubirajara;SP;4828;Sim;0.21;0.23;0;0;1110,44
Nova Cantu;PR;4827;Sim;0;;0.45;0.05;0
Ressaquinha;MG;4826;Sim;0.35;;0.36;0;0
Júlio Mesquita;SP;4824;Em elaboração;0;0;0;0.01;0
São Pedro da Cipa;MT;4823;Não;0;;0.12;0;0
Tabaí;RS;4816;Sim;;;0.38;0;0
Ouro Branco;RN;4813;Sim;0.07;0.31;0.31;0;1492,03
Conceição do Canindé;PI;4811;Não;0.27;;;;0
Feliz Deserto;AL;4803;Em elaboração;0.01;;0;;0
Caibaté;RS;4802;Em elaboração;0.44;;;0.02;0
Bom Jardim da Serra;SC;4801;Sim;0.42;;0.45;0.01;0
Jeceaba;MG;4795;Sim;0;0.36;0.1;0.31;1726,2
Paulistas;MG;4794;Sim;0.51;;0.53;;0
Capivari do Sul;RS;4793;Sim;0.21;;0;;0
Berizal;MG;4792;Não;0.44;;0.43;0.01;0
Salto Veloso;SC;4792;Sim;0.12;;0;0;0
Jurema;PI;4790;Não;0.62;;0.56;0;0
Congo;PB;4787;Não;0.13;;0.27;0.1;0
Ribeirão Corrente;SP;4786;Sim;0.16;0.17;0.1;0;813,62
Granjeiro;CE;4784;Sim;0.77;0.9;0.7;0;4305,6
Erval Grande;RS;4780;Sim;0.48;;0.16;0.03;0
Jesuânia;MG;4774;Não;0.35;0.35;0.23;0.01;1670,9
Lajes Pintadas;RN;4768;Em elaboração;0.03;0.67;0.53;;3194,56
Mata;RS;4760;Não;0.49;;0.16;0.13;0
Rio Negro;MS;4758;Sim;0.28;;0.12;0.01;0
São Francisco do Glória;MG;4758;Sim;0.4;0.63;0.3;0.04;2997,54
Joaquim Felício;MG;4757;Sim;0.5;0.8;0.01;0.01;3805,6
Monteiro Lobato;SP;4739;Não;0.5;0.61;0.31;0;2890,79
Bandeira;MG;4738;Em elaboração;0.42;0.55;0.52;0.07;2605,9
Braúnas;MG;4737;Sim;0.67;;;;0
Fênix;PR;4734;Sim;0;;0.17;0;0
David Canabarro;RS;4732;Sim;0.59;;0.59;;0
Espírito Santo do Dourado;MG;4728;Não;0;0;;;0
Rio Quente;GO;4728;Não;0.12;0.76;0.08;0;3593,28
Natércia;MG;4727;Sim;0.42;0.56;0;0.02;2647,12
Riachinho;TO;4723;Não;0.05;;0.81;0.11;0
Cerro Branco;RS;4720;Não;0;;0.43;0.03;0
Pontalinda;SP;4719;Não;0.15;0.16;0.17;0;755,04
Arraial;PI;4713;Não;0.54;;0.48;0;0
Humaitá;RS;4712;Sim;0.41;;0.41;0;0
Canabrava do Norte;MT;4711;Não;;;;;0
Divinópolis de Goiás;GO;4701;Sim;0.25;;;;0
São Pedro dos Crentes;MA;4700;Em elaboração;;;;;0
Riozinho;RS;4698;Sim;0.49;;0.01;0;0
São José do Seridó;RN;4696;Sim;0.43;0.34;0.05;0;1596,64
Lunardelli;PR;4695;Sim;0;0.69;0.3;0;3239,55
Ciríaco;RS;4693;Em elaboração;0.49;;0;0;0
Santa Cruz do Escalvado;MG;4693;Sim;0.72;0.42;0.34;0;1971,06
Guatambú;SC;4692;Sim;0.06;;0.63;0;0
Ibiaçá;RS;4690;Sim;0.4;;0.1;0.01;0
Coronel José Dias;PI;4688;Não;0.48;;0.45;0;0
Angelina;SC;4686;Sim;0.77;;0;0.03;0
Dueré;TO;4686;Sim;0.33;;0.33;0;0
Almino Afonso;RN;4685;Em elaboração;0.29;;0.29;;0
Itaguari;GO;4684;Não;0.1;;0.12;0;0
Nova Iorque;MA;4682;Não;0.65;;;;0
Fazenda Vilanova;RS;4680;Sim;0.4;;0;0;0
Marumbi;PR;4676;Em elaboração;0;;0.19;;0
Barra do Ouro;TO;4673;Não;0.11;;0.47;0;0
Oratórios;MG;4671;Sim;;;0.28;0.01;0
Messias Targino;RN;4665;Sim;0.38;;;;0
Caiçara;RS;4659;Sim;0.69;;0.68;0;0
Lagoa do Barro do Piauí;PI;4658;Em elaboração;0;;0.74;0;0
Felício dos Santos;MG;4656;Sim;;;0.57;0;0
Entre Rios do Oeste;PR;4651;Sim;0;;0.1;0;0
Santana do Piauí;PI;4650;Não;0.5;;0.39;0;0
Rosário da Limeira;MG;4648;Sim;0.47;0.35;0.2;0.01;1626,8
Amparo do Serra;MG;4643;Não;0.46;;;;0
Lagoa;PB;4640;Não;0.4;;0.5;0;0
São José de Espinharas;PB;4631;Não;0.52;;;;0
Rio Fortuna;SC;4630;Sim;0.52;;0.5;0.51;0
Viadutos;RS;4628;Sim;0.5;;0.5;0;0
Mato Leitão;RS;4627;Sim;0;;0.31;0;0
São João da Urtiga;RS;4625;Sim;0.52;;0.52;0;0
Ponte Alta;SC;4619;Sim;0.07;;0.04;0;0
São João da Canabrava;PI;4619;Não;0.67;;0.72;0;0
Capela Nova;MG;4616;Em elaboração;0.57;0.59;0.35;0;2723,44
Bertópolis;MG;4609;Em elaboração;0.42;0.47;0.35;0.03;2166,23
Lupércio;SP;4608;Não;0.07;0.08;0.09;0;368,64
São Bentinho;PB;4602;Em elaboração;0.22;;0.31;0;0
Santa Carmem;MT;4600;Sim;0.25;;0.25;0;0
Rosário do Ivaí;PR;4595;Sim;0.13;0.46;0.27;0;2113,7
Novo Planalto;GO;4592;Não;0.35;;0.35;0;0
Coronel Macedo;SP;4591;Sim;0.04;0.11;0.21;0;505,01
Ponte Alta do Bom Jesus;TO;4586;Não;0.45;;0;0;0
Cordilheira Alta;SC;4585;Sim;0.16;0.76;0.32;0;3484,6
Tunas;RS;4585;Sim;0;0.69;0.56;0;3163,65
Romelândia;SC;4584;Sim;0.54;;0.56;0.04;0
Santa Cruz da Conceição;SP;4584;Sim;0.31;0.35;0.13;0;1604,4
Flor da Serra do Sul;PR;4583;Em elaboração;0.29;;0.47;0.01;0
Conceição de Ipanema;MG;4581;Em elaboração;0;0;0.45;0.01;0
São Lourenço do Piauí;PI;4581;Não;0.58;;;;0
Bonópolis;GO;4579;Não;0.64;;0;0;0
João Ramalho;SP;4577;Em elaboração;0.23;0.23;0.1;0;1052,71
Cantagalo;MG;4575;Não;0.46;;0.41;;0
Guaribas;PI;4573;Não;0.58;;0.71;0.01;0
Riachão do Poço;PB;4571;Não;;;;;0
São Pedro da União;MG;4563;Não;0.41;0.04;0;0;182,52
Riachão do Bacamarte;PB;4562;Em elaboração;1;;;;0
Aguanil;MG;4557;Não;0.36;0.42;0.21;0;1913,94
Socorro do Piauí;PI;4557;Não;0.55;;0.53;;0
Santa Teresinha;PB;4550;Não;0.28;;;0;0
Buritizal;SP;4547;Não;0.11;0.11;0.1;0;500,17
Marcos Parente;PI;4546;Em elaboração;0.06;0.73;0.08;0;3318,58
Fronteira dos Vales;MG;4542;Em elaboração;0.33;0.33;;0;1498,86
São Bento do Trairí;RN;4541;Em elaboração;0.19;0.52;;;2361,32
Mundo Novo;GO;4540;Em elaboração;0.27;;0;0;0
São Félix de Balsas;MA;4540;Não;0.87;;;;0
Maçambará;RS;4539;Em elaboração;0.72;;0.67;0;0
Montividiu do Norte;GO;4538;Em elaboração;0.57;;0.67;0.01;0
Ingazeira;PE;4537;Não;0.33;;0.45;0;0
Ribeirão do Sul;SP;4537;Não;0.18;0.2;0;0;907,4
Canaã;MG;4533;Sim;0.58;0;0.4;0.01;0
Lindóia do Sul;SC;4530;Sim;0.39;;0.42;0.09;0
Vicente Dutra;RS;4530;Em elaboração;0.56;;0.34;0;0
Matinhas;PB;4528;Não;0.8;0;0.85;0;0
Morro Cabeça no Tempo;PI;4527;Não;;;;0.04;0
Senador Georgino Avelino;RN;4527;Em elaboração;0.11;;0.02;;0
Turvânia;GO;4526;Em elaboração;0.14;;0.2;;0
Murutinga do Sul;SP;4525;Sim;0.39;0.43;0;0;1945,75
Riqueza;SC;4525;Sim;0.32;;0.55;0.02;0
Jardim do Mulato;PI;4522;Não;0.69;;;;0
Ritápolis;MG;4521;Em elaboração;0.28;;0.12;0;0
Porto Lucena;RS;4514;Sim;0.57;;0.29;0.41;0
Bocaina;PI;4509;Em elaboração;0.45;0.84;0.46;0;3787,56
Tunápolis;SC;4507;Sim;0.32;0.95;0.65;0.08;4281,65
Ramilândia;PR;4500;Sim;0.3;;0.51;0;0
Cariri do Tocantins;TO;4499;Sim;0.44;;0.44;0;0
Ribeira do Piauí;PI;4499;Não;0;;0.5;0;0
Lindoeste;PR;4488;Sim;0.06;;;0;0
